FinalID,Model,Intercept,x,x2,x3,AIC,Habitat,ConKingdom,StandardisedTraitName,Observations
MTD2071,Cubic,0.884479353472,-0.151295838102,0.00830514463791,-0.000137320674519,-34.0941695195,terrestrial,Metazoa,Population Growth Rate,7
MTD2073,Cubic,0.44457,0.0237783333333,0.03089,-0.00115273333333,8.83056884234,marine,Chromista,Population Growth Rate,5
MTD2079,Cubic,-0.327258846034,0.0408302400673,-0.000796792583152,-1.02206938902e-06,-56.0056585011,terrestrial,Metazoa,Population Growth Rate,11
MTD2081,Cubic,-0.334135117327,0.041030029355,-0.000777652848078,-1.91064665379e-06,-48.7981078949,terrestrial,Metazoa,Population Growth Rate,11
MTD2083,Cubic,-0.625810832114,0.0817756779183,-0.00258811329776,2.52635579335e-05,-52.7749335028,terrestrial,Metazoa,Population Growth Rate,10
MTD2087,Cubic,0.292200000001,-0.0711738095239,0.00603142857143,-0.000119333333333,-46.7334434385,terrestrial,Metazoa,Population Growth Rate,5
MTD2092,Cubic,0.327400000001,-0.0626880952382,0.00389428571429,-6.33333333334e-05,-38.5658320733,terrestrial,Metazoa,Population Growth Rate,5
MTD2099,Cubic,46.7906,-8.57519515873,0.490172142857,-0.00795462222222,23.707196843,marine,Plantae,Mass-Specific Photosynthetic Oxygen Production Rate,6
MTD2100,Cubic,1.17648571428,-0.391698174603,0.042575,-0.000850444444444,1.73469756472,marine,Plantae,Individual Mass Growth Rate,7
MTD2101,Cubic,0.000250402714286,-2.92187174603e-05,3.45747714286e-06,-6.58564444444e-08,-101.485831644,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,6
MTD2102,Cubic,0.0011151387619,-0.000190727414021,1.15736471429e-05,-1.94660296296e-07,-106.755077645,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,6
MTD2103,Cubic,0.000630101047619,-8.1944273545e-05,5.18168428571e-06,-8.63076296296e-08,-100.256119253,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,6
MTD2104,Cubic,-0.000114741014286,4.22772106349e-05,-2.4102242381e-06,4.04109555556e-08,-120.239137009,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,7
MTD2105,Cubic,0.000205574092857,-3.34565056277e-05,1.92668750216e-06,-3.01562363636e-08,-130.277412801,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,8
MTD2106,Cubic,4.69169999998e-06,-5.07625825397e-06,1.12871252381e-06,-2.69400222222e-08,-109.482323051,terrestrial,Plantae,Surface Area-Specific Photosynthetic Oxygen Production Rate,7
MTD2107,Cubic,9.97745166667e-06,6.05582452381e-07,2.39030133333e-07,-7.49980666667e-09,-153.281287145,marine,Protista,POC Photosynthetic Oxygen Production Rate,7
MTD2108,Cubic,2.26709833333e-05,3.61068174603e-07,2.33748047619e-07,-5.90662222222e-09,-147.656115576,marine,Chromista,POC Photosynthetic Oxygen Production Rate,7
MTD2109,Cubic,5.58285571429e-05,7.10648888889e-07,5.72033666667e-07,-1.54008222222e-08,-129.162500169,marine,Chromista,POC Photosynthetic Oxygen Production Rate,7
MTD2110,Cubic,1.39520589292e-05,7.26769496817e-07,2.05397397766e-08,9.0637154524e-10,-192.566799538,terrestrial,Plantae,Surface Area-Specific Dark Respiration Rate,8
MTD2111,Cubic,1.14837203e-05,4.44051515451e-07,7.14004036634e-08,-1.56759957017e-09,-189.772580321,terrestrial,Plantae,Surface Area-Specific Maximum Photosynthesis Rate,8
MTD2112,Cubic,1.4907722113e-05,1.81791403488e-06,8.16445808738e-08,1.59348288549e-09,-145.417188971,terrestrial,Plantae,Surface Area-Specific Dark Respiration Rate,7
MTD2113,Cubic,3.34975525789e-06,3.83523269557e-07,1.88420868171e-07,-3.85541067104e-09,-167.491284837,terrestrial,Plantae,Surface Area-Specific Maximum Photosynthesis Rate,7
MTD2114,Cubic,2.20208647619e-05,-3.53454927513e-06,2.13908357143e-07,-2.32667185185e-09,-155.768744572,terrestrial,Plantae,Surface Area-Specific Mitochondrial Respiration Rate,6
